,feature_no,feature_name,vNE,info_rich_feature,max_num_for_this_dataset
0,0,ASV_1,2.847200673010549,Yes,12
1,1,ASV_2,2.4700270762581886,Yes,12
2,2,ASV_3,2.464404904764591,Yes,12
3,3,ASV_4,2.527354031475938,No,12
4,4,ASV_5,2.5344092197685244,No,12
5,5,ASV_6,2.5273604624750305,No,12
6,6,ASV_7,2.5227509657809475,No,12
7,7,ASV_9,2.5252376827016723,No,12
8,8,ASV_10,2.522009269012145,No,12
9,9,ASV_11,2.5041081727658203,No,12
10,10,ASV_12,2.526203304768317,No,12
11,11,ASV_13,2.518835024925448,No,12
12,12,ASV_15,2.5179347610244083,No,12
13,13,ASV_16,2.5226857799580045,No,12
14,14,ASV_18,2.514344511713894,No,12
15,15,ASV_19,2.531466910289726,No,12
16,16,ASV_20,2.513276112238216,No,12
17,17,ASV_21,2.5255348723729774,No,12
18,18,ASV_22,2.4896675248841906,No,12
19,19,ASV_23,2.501893252446686,No,12
20,20,ASV_24,2.5278393922397555,No,12
21,21,ASV_25,2.522608954474121,No,12
22,22,ASV_27,2.518899479209281,No,12
23,23,ASV_29,2.526775373364192,No,12
24,24,ASV_30,2.524601638660682,No,12
25,25,ASV_31,2.5256707420262927,No,12
26,26,ASV_32,2.5259695781391702,No,12
27,27,ASV_34,2.526884211730215,No,12
28,28,ASV_35,2.52318911220932,No,12
29,29,ASV_37,2.5235626211434017,No,12
30,30,ASV_38,2.5279895710415796,No,12
31,31,ASV_39,2.528542836006177,No,12
32,32,ASV_40,2.5231457907689117,No,12
33,33,ASV_42,2.5212879908991095,No,12
34,34,ASV_44,2.526046886068189,No,12
35,35,ASV_45,2.527829790076163,No,12
36,36,ASV_47,2.5212505786643873,No,12
37,37,ASV_48,2.5265172019522093,No,12
38,38,ASV_49,2.5244678171489294,No,12
39,39,ASV_50,2.5276088980618114,No,12
40,40,ASV_51,2.5248050519848184,No,12
41,41,ASV_53,2.5097425320830524,No,12
42,42,ASV_54,2.522755044810217,No,12
43,43,ASV_55,2.524742265789983,No,12
44,44,ASV_56,2.527822695905986,No,12
45,45,ASV_57,2.5212482440300663,No,12
46,46,ASV_58,2.5266700319698336,No,12
