,feature_no,feature_name,vNE,info_rich_feature,max_num_for_this_dataset
0,0,ASV_1,1.8207298080695975,Yes,16
1,1,ASV_2,1.8096224435290058,Yes,16
2,2,ASV_3,2.031736484559778,No,16
3,3,ASV_4,2.0246033534123757,No,16
4,4,ASV_5,2.0549958158315293,No,16
5,5,ASV_6,2.056468447363415,No,16
6,6,ASV_7,2.0173962234535256,No,16
7,7,ASV_9,2.0558324732536124,No,16
8,8,ASV_10,2.0417965510122165,No,16
9,9,ASV_11,2.050291600854063,No,16
10,10,ASV_12,2.054255415308434,No,16
11,11,ASV_13,2.0554847595147945,No,16
12,12,ASV_15,2.0022713380140638,No,16
13,13,ASV_16,2.043611941337467,No,16
14,14,ASV_17,2.0578070628497573,No,16
15,15,ASV_18,2.0477349015695236,No,16
16,16,ASV_20,2.055976559410541,No,16
17,17,ASV_21,2.0485120295995305,No,16
18,18,ASV_22,2.0555492835416507,No,16
19,19,ASV_23,2.05734907079377,No,16
20,20,ASV_24,2.0577110557567626,No,16
21,21,ASV_27,2.0573254655923674,No,16
22,22,ASV_29,2.055675761673796,No,16
23,23,ASV_30,2.0555547065990383,No,16
24,24,ASV_31,2.0556867508619985,No,16
25,25,ASV_32,2.1736994022923644,Yes,16
26,26,ASV_34,2.054645878273355,No,16
27,27,ASV_35,2.038878816074228,No,16
28,28,ASV_36,2.0524586503040028,No,16
29,29,ASV_37,2.0551751164095076,No,16
30,30,ASV_38,2.0576985342181655,No,16
31,31,ASV_39,2.0524775091390963,No,16
32,32,ASV_40,2.0545682861100576,No,16
33,33,ASV_41,2.057443624711001,No,16
34,34,ASV_42,2.05744958667562,No,16
35,35,ASV_44,2.0568328511736924,No,16
36,36,ASV_45,2.057222791711889,No,16
37,37,ASV_47,2.0485481141086006,No,16
38,38,ASV_48,2.05730243048601,No,16
39,39,ASV_49,2.055506954056646,No,16
40,40,ASV_50,2.056092155346642,No,16
41,41,ASV_51,2.053802457625392,No,16
42,42,ASV_53,2.0467884063769874,No,16
43,43,ASV_55,2.055429608500803,No,16
44,44,ASV_56,2.055456268783023,No,16
45,45,ASV_57,2.055350890418054,No,16
46,46,ASV_58,2.0577516680083154,No,16
47,47,ASV_59,2.036219015339104,No,16
48,48,ASV_60,2.0565274045829374,No,16
49,49,ASV_61,2.057420902051712,No,16
50,50,ASV_62,2.0571978747282453,No,16
51,51,ASV_63,2.033900771520153,No,16
52,52,ASV_64,2.0573608764127296,No,16
53,53,ASV_65,2.0590920934303667,No,16
54,54,ASV_66,2.0486315337934204,No,16
55,55,ASV_67,2.0573935530259355,No,16
56,56,ASV_69,2.057412492129638,No,16
57,57,ASV_70,2.0574741366596196,No,16
58,58,ASV_71,2.0560323004629977,No,16
59,59,ASV_73,2.055466147480188,No,16
60,60,ASV_74,2.0575425207920435,No,16
61,61,ASV_75,2.0569323135985895,No,16
62,62,ASV_76,2.05771758565145,No,16
63,63,ASV_77,2.1670289564503107,Yes,16
64,64,ASV_78,2.057282501752176,No,16
65,65,ASV_79,2.0575963895679172,No,16
66,66,ASV_80,2.0464591246796164,No,16
67,67,ASV_81,2.0562804185771966,No,16
68,68,ASV_82,2.0576890472105958,No,16
69,69,ASV_84,2.055213251402549,No,16
70,70,ASV_86,2.0562603858812807,No,16
71,71,ASV_87,2.055617790753045,No,16
72,72,ASV_88,2.0520743778490536,No,16
73,73,ASV_91,2.0570083239443946,No,16
74,74,ASV_92,2.0554974481782904,No,16
75,75,ASV_93,2.051048079111601,No,16
76,76,ASV_94,2.057424746364513,No,16
77,77,ASV_96,2.0564342618628366,No,16
78,78,ASV_97,2.056233035629612,No,16
79,79,ASV_98,2.055823104674718,No,16
80,80,ASV_99,2.057658758526625,No,16
81,81,ASV_101,2.0576651655253455,No,16
82,82,ASV_102,2.0577330165576657,No,16
